naam;latijnse_naam;Waterbehoefte;Lichtbehoefte;Groeihoogte_cm;verkoopprijs_eur;standplaats;voorraad;bloeitijd;kleur;huisdier_vriendelijk;overview_image;additional_image1;additional_image2
Roos Columnaris Grace;placeholder;Gemiddeld;Veel licht;160;150.88;Kamerplanten;20;Jaarrond;Wit;Ja;cayenne_pc-1133x1200-95d6dc9.jpg;pixie_powder_with_thriller_scene.jpg;island_paradise-872x1200-ac7b053.jpg
Roos Columnaris Harmony;placeholder;Laag;Schaduw;108;4.88;Tussenvariant;193;Winter;Rood;Nee;scaevola_stardiva_white_co-ex_grande.jpg;dahlia_virtuoso_rad_raz_grande.jpg;scaevola_stardiva_pink_tag.jpg
Roos Columnaris Wonder;placeholder;Laag;Schaduw;297;33.57;Kamerplanten;62;Lente;Oranje;Nee;caladium_heart_to_heart_midnight_oil_12831_tag.jpg;shade_garden_-cinnamon_toast.png;artisan_attire.jpg
Roos Columnaris Magic;placeholder;Hoog;Schaduw;186;178.95;Kamerplanten;65;Jaarrond;Groen;Nee;emerald_isle_alocasia-4640x6960-85b4e9f.jpg;portulaca_mojave_mango_ecogrande.jpg;coleus_colorblaze_mini_me_chartreuse_tag.jpg
Roos Columnaris Velour;placeholder;Hoog;Veel licht;286;142.1;Tussenvariant;105;Jaarrond;Blauw;Nee;ipomoea_upside_black_coffee_newtagimage.png;portulaca_mojave_tangerine_tag.jpg;supertunia_bordeaux_2026_mono.jpg
Roos Columnaris Crown;placeholder;Gemiddeld;Veel licht;267;56.59;Tussenvariant;107;Jaarrond;Roze;Nee;coleus_colorblaze_mini_me_chartreuse_mono.jpg;dahlia_virtuoso_pinkerific_mono.jpg;bidens_campfire_red_ember_12816_mono.jpg
Roos Columnaris Bloom;placeholder;Hoog;Halfschaduw;250;135.74;Buitenplanten;154;Winter;Groen;Ja;gigi.jpg;supertunia_bermuda_beach_tag_25.jpg;dahlia_virtuoso_vibrant_violet_mono.jpg
Roos Columnaris Blush;placeholder;Hoog;Schaduw;85;89.43;Buitenplanten;98;Winter;Wit;Nee;dahlia_virtuoso_rad_raz_tag_1.jpg;warm_and_toasty.jpg;dahlia_virtuoso_classy_carmine_tag.jpg
Roos Columnaris Forest;placeholder;Hoog;Schaduw;46;46.54;Kamerplanten;82;Jaarrond;Wit;Nee;to_die_for_heart-soul_va-va-violet.png;cuphea_totally_tempted_frosted_violet_mono.jpg;ipomoea_upside_key_lime_newtagimage.png
Roos Columnaris Sky;placeholder;Hoog;Schaduw;59;106.77;Kamerplanten;51;Lente;Rood;Ja;phlox_southern_blaze_bright_pink_12828_mono.jpg;kindness.jpg;ipomoea_upside_key_lime_newtagimage.png
Roos Columnaris Ocean;placeholder;Hoog;Halfschaduw;21;135.94;Buitenplanten;161;Zomer;Blauw;Nee;supertunia_bermuda_beach_mono_25.jpg;dahlia_virtuoso_classy_carmine_ecogrande_0.jpg;dahlia_virtuoso_dayglo_yellow_grande.jpg
Roos Columnaris Frost;placeholder;Gemiddeld;Halfschaduw;93;59.64;Buitenplanten;169;Zomer;Wit;Ja;scaevola_whirlwind_white_12305_tag.jpg;supertunia_bermuda_beach_mono_25.jpg;portulaca_mojave_fuchsia_co-ex_grande_25.jpg
Roos Columnaris Summer;placeholder;Hoog;Schaduw;183;99.47;Kamerplanten;196;Herfst;Groen;Ja;bouffant_pc.jpg;secret_cove.jpg;begonia_space_age_triton_co-ex_grande.jpg
Roos Columnaris Autumn;placeholder;Gemiddeld;Veel licht;18;33.54;Kamerplanten;168;Winter;Oranje;Nee;sip_and_savor.jpg;dahlia_virtuoso_pinkerific_macro_02.jpg;salvia_unplugged_red_ecogrande.jpg
Roos Columnaris Winter;placeholder;Hoog;Veel licht;43;61.99;Tussenvariant;55;Lente;Paars;Ja;bouffant_pc.jpg;scaevola_stardiva_white_mono.jpg;lobelia_laguna_royale_pink_12819_tag.jpg
Roos Columnaris Spring;placeholder;Gemiddeld;Veel licht;198;103.73;Tussenvariant;157;Jaarrond;Wit;Ja;begonia_space_age_triton_co-ex_grande.jpg;angelonia_angelface_white_ecogrande25.jpg;begonia_surefire_cascade_red_12825_tag.jpg
Roos Columnaris Elite;placeholder;Hoog;Veel licht;31;186.71;Kamerplanten;137;Herfst;Blauw;Nee;cuphea_totally_tempted_richly_red_mono.jpg;agastache_maestro_gold_macro_02.jpg;heliotropium_aromagica_purple_tag_0.jpg
Roos Columnaris Prime;placeholder;Hoog;Schaduw;97;64.34;Kamerplanten;9;Jaarrond;Roze;Ja;dahlia_virtuoso_dayglo_yellow_tag.jpg;carex_graceful_grasses_toffee_twist_tag_25.jpg;coleus_colorblaze_mini_me_chartreuse_tag_0.jpg
Roos Columnaris Natural;placeholder;Hoog;Halfschaduw;49;97.3;Buitenplanten;138;Lente;Roze;Ja;warm_and_toasty.jpg;only_vogue.jpg;scaevola_stardiva_pink_co-ex_grande.jpg
Roos Columnaris Botanic;placeholder;Gemiddeld;Schaduw;196;110.24;Tussenvariant;136;Zomer;Rood;Ja;pink_parrot-1201x1003-c8971dd.jpg;cuphea_totally_tempted_watermelon_wine_ecogrande.jpg;supertunia_vista_cool_jazz_12821_tag.jpg
Roos Columnaris Lush;placeholder;Hoog;Schaduw;38;154.28;Buitenplanten;173;Zomer;Paars;Nee;to_die_for_heart-soul_va-va-violet.png;begonia_space_age_triton_macro_03.jpg;ipomoea_sweet_caroline_sweetheart_shadowstorm_12823_tag.jpg
Roos Columnaris Fresh;placeholder;Hoog;Schaduw;32;136.62;Buitenplanten;98;Herfst;Rood;Ja;begonia_space_age_triton_ecogrande.jpg;dahlia_virtuoso_dayglo_yellow_ecogrande.jpg;cuphea_totally_tempted_frosted_violet_mono.jpg
Roos Columnaris Zen;placeholder;Gemiddeld;Halfschaduw;170;19.8;Buitenplanten;54;Winter;Wit;Nee;agastache_maestro_coral_co-ex_grande.jpg;dahlia_virtuoso_pinkerific_co-ex_grande.jpg;dahlia_virtuoso_rad_raz_mono.jpg
Roos Columnaris Wild;placeholder;Gemiddeld;Schaduw;250;26.05;Kamerplanten;166;Zomer;Blauw;Nee;vista_view.jpg;cuphea_totally_tempted_frosted_violet_mono_0.jpg;bidens_campfire_red_ember_12816_tag.jpg
Roos Columnaris Soft;placeholder;Laag;Halfschaduw;104;87.65;Kamerplanten;190;Herfst;Blauw;Ja;to_die_for_heart-soul_va-va-violet.png;supertunia_blue_tiara_tag_rgb.jpg;utopia.jpg
Roos Columnaris Bright;placeholder;Laag;Veel licht;165;81.16;Kamerplanten;188;Lente;Groen;Ja;kindness.jpg;dahlia_virtuoso_rad_raz_tag_1.jpg;called_your_bluff_0.jpg
Roos Columnaris Calm;placeholder;Hoog;Veel licht;151;177.18;Tussenvariant;188;Lente;Groen;Ja;nature_reserve-975x1200-ecebb22.jpg;dahlia_virtuoso_classy_carmine_tag.jpg;coleus_colorblaze_mini_me_chartreuse_tag.jpg
Roos Glauca Select;placeholder;Hoog;Halfschaduw;295;45.48;Buitenplanten;199;Zomer;Wit;Nee;coleus_colorblaze_mini_me_chartreuse_tag.jpg;twilight_fireworks.png;angelonia_angelface_white_mono.jpg
Roos Glauca Beauty;placeholder;Hoog;Veel licht;165;114.43;Buitenplanten;82;Winter;Paars;Ja;coleus_colorblaze_mini_me_chartreuse_mono.jpg;dancing_with_the_moon.jpg;cuphea_totally_tempted_frosted_violet_mono.jpg
Roos Glauca Princess;placeholder;Gemiddeld;Halfschaduw;27;77.64;Tussenvariant;15;Herfst;Rood;Nee;supertunia_mini_vista_pink_cloud_12822_mono.jpg;cuphea_totally_tempted_frosted_violet_mono_0.jpg;cuphea_totally_tempted_frosted_violet_tag.jpg
Roos Glauca King;placeholder;Hoog;Veel licht;112;44.21;Kamerplanten;120;Winter;Groen;Ja;supertunia_vista_cool_jazz_12821_tag.jpg;caladium_heart_to_heart_midnight_oil_12831_tag.jpg;bordeaux_2025_tag_rgb.jpg
Roos Glauca Queen;placeholder;Gemiddeld;Schaduw;28;13.57;Kamerplanten;27;Herfst;Roze;Nee;i_got_you.jpg;pixie_powder_with_thriller_scene.jpg;voice_of_an_angel_-4701x4443-1a19375.jpg
Roos Glauca Gem;placeholder;Gemiddeld;Schaduw;198;141.58;Kamerplanten;63;Jaarrond;Roze;Ja;sunshine_state_w-thriller_scene-4480x6720-a4f0068.jpg;salvia_unplugged_white_tag.jpg;supertunia_mini_vista_plum_veined_mono.jpg
Roos Glauca Delight;placeholder;Gemiddeld;Halfschaduw;226;153.82;Tussenvariant;114;Winter;Blauw;Ja;portulaca_mojave_fuchsia_tag_25.jpg;ipomoea_sweet_caroline_sweetheart_shadowstorm_12823_tag.jpg;heliotropium_aromagica_purple_tag.jpg
Roos Glauca Flame;placeholder;Gemiddeld;Veel licht;135;45.97;Kamerplanten;86;Jaarrond;Rood;Nee;tango_dance.jpg;alocasia_heart_to_heart_emerald_isle_mono.jpg;angelonia_angelface_white_tag.jpg
Roos Glauca Mist;placeholder;Gemiddeld;Schaduw;21;50.75;Tussenvariant;74;Winter;Groen;Nee;alocasia_heart_to_heart_emerald_isle_mono.jpg;twilight_fireworks.png;supertunia_bermuda_beach_ecogrande_25.jpg
Roos Glauca Pearl;placeholder;Hoog;Schaduw;105;29.83;Tussenvariant;28;Zomer;Groen;Ja;portulaca_mojave_tangerine_mono25.jpg;scaevola_stardiva_blue_co-ex_grande.jpg;agastache_maestro_coral_co-ex_grande.jpg
Roos Glauca Glow;placeholder;Laag;Halfschaduw;285;160.84;Buitenplanten;189;Winter;Paars;Nee;agastache_maestro_gold_macro_02.jpg;send_me_an_angel-900x1200-e17b42d.jpg;dahlia_virtuoso_dayglo_yellow_mono.jpg
Roos Glauca Charm;placeholder;Hoog;Halfschaduw;47;29.36;Tussenvariant;39;Zomer;Rood;Nee;salvia_unplugged_red_ecogrande.jpg;coleus_colorblaze_mini_me_chartreuse_mono.jpg;hearth_and_home.jpg
Roos Glauca Dream;placeholder;Hoog;Schaduw;147;37.18;Kamerplanten;35;Herfst;Wit;Ja;vista_view.jpg;scaevola_stardiva_pink_co-ex_grande.jpg;begonia_space_age_europa_tag.jpg
Roos Glauca Classic;placeholder;Laag;Schaduw;261;84.91;Buitenplanten;191;Lente;Paars;Ja;kindness.jpg;love_bug.jpg;agastache_maestro_gold_mono.jpg
Roos Glauca Royal;placeholder;Laag;Halfschaduw;268;111.04;Buitenplanten;136;Herfst;Roze;Ja;dahlia_virtuoso_pinkerific_tag.jpg;cuphea_totally_tempted_richly_red_grande.jpg;secret_cove.jpg
Roos Glauca Sunrise;placeholder;Hoog;Halfschaduw;136;167.6;Tussenvariant;55;Jaarrond;Paars;Nee;cayenne_pc-1133x1200-95d6dc9.jpg;scaevola_whirlwind_white_12305_tag.jpg;scaevola_stardiva_white_co-ex_grande.jpg
Roos Glauca Sunset;placeholder;Hoog;Veel licht;163;61.61;Tussenvariant;156;Lente;Geel;Nee;portulaca_mojave_fuchsia_ecogrande_25.jpg;quaint_cottage.jpg;dahlia_virtuoso_dayglo_yellow_ecogrande.jpg
Roos Glauca Snow;placeholder;Laag;Schaduw;88;169.41;Buitenplanten;58;Winter;Rood;Nee;begonia_surefire_cascade_red_12825_tag.jpg;dahlia_virtuoso_vibrant_violet_tag.jpg;supertunia_blue_tiara_tag_rgb.jpg
Roos Glauca Emerald;placeholder;Laag;Halfschaduw;84;119.39;Kamerplanten;92;Jaarrond;Rood;Nee;corner_cafe.jpg;scaevola_stardiva_white_tag.jpg;island_paradise-872x1200-ac7b053.jpg
Roos Glauca Ruby;placeholder;Laag;Schaduw;168;153.37;Buitenplanten;40;Zomer;Geel;Nee;lobelia_laguna_royale_azure_12820_mono.jpg;im_in_heaven.jpg;bidens_campfire_red_ember_12816_tag.jpg
Roos Glauca Sapphire;placeholder;Laag;Halfschaduw;175;154.35;Tussenvariant;150;Zomer;Rood;Ja;moonlit_lavender_basket.jpg;supertunia_mini_vista_plum_veined_grande_01.jpg;polar_peach_w-thriller_scene.jpg
Roos Glauca Moon;placeholder;Laag;Schaduw;86;129.25;Tussenvariant;117;Jaarrond;Paars;Ja;salvia_unplugged_red_mono.jpg;lobularia_white_knight_12827_tag.jpg;nemesia_bluebird_tag.jpg
Roos Glauca Spirit;placeholder;Laag;Halfschaduw;167;88.83;Tussenvariant;112;Lente;Groen;Ja;supertunia_bermuda_beach_macro_02_25_0.jpg;begonia_space_age_black_hole_macro_01.jpg;voice_of_an_angel_-4701x4443-1a19375.jpg
Roos Glauca Grace;placeholder;Gemiddeld;Schaduw;269;7.46;Buitenplanten;44;Zomer;Blauw;Ja;cuphea_totally_tempted_frosted_violet_macro_01.jpg;berry_express.jpg;dahlia_virtuoso_pinkerific_ecogrande.jpg
Roos Glauca Harmony;placeholder;Gemiddeld;Schaduw;138;94.57;Tussenvariant;130;Jaarrond;Rood;Nee;whisk_me_away.jpg;bold_symphony.png;to_die_for_heart-soul_va-va-violet.png
Roos Glauca Wonder;placeholder;Hoog;Halfschaduw;204;37.58;Kamerplanten;77;Winter;Roze;Ja;shade_garden_-cinnamon_toast.png;fruitful_0.jpg;scaevola_stardiva_blue_mono.jpg
Roos Glauca Magic;placeholder;Laag;Halfschaduw;289;154.52;Buitenplanten;141;Jaarrond;Wit;Nee;southern_voyage-1162x1200-3db4131.jpg;begonia_surefire_cascade_red_12825_mono.jpg;cuphea_totally_tempted_watermelon_wine_tag.jpg
Roos Glauca Velour;placeholder;Hoog;Veel licht;115;61.81;Buitenplanten;89;Jaarrond;Roze;Ja;heliotropium_aromagica_purple_tag.jpg;vista_view.jpg;scaevola_stardiva_pink_ecogrande.jpg
Roos Glauca Crown;placeholder;Gemiddeld;Schaduw;143;68.77;Kamerplanten;127;Zomer;Groen;Ja;dahlia_virtuoso_rad_raz_ecogrande_0.jpg;eclectic_elegance.jpg;portulaca_mojave_fuchsia_tag_25.jpg
Roos Glauca Bloom;placeholder;Hoog;Halfschaduw;57;160.31;Buitenplanten;72;Herfst;Wit;Ja;nature_reserve-975x1200-ecebb22.jpg;begonia_space_age_triton_macro_03.jpg;salvia_unplugged_red_mono.jpg
Roos Glauca Blush;placeholder;Laag;Veel licht;200;115.73;Buitenplanten;77;Jaarrond;Geel;Nee;island_paradise-872x1200-ac7b053.jpg;begonia_space_age_triton_co-ex_grande.jpg;scaevola_stardiva_blue_mono.jpg
Roos Glauca Forest;placeholder;Hoog;Schaduw;211;70.66;Tussenvariant;166;Herfst;Roze;Ja;lobelia_laguna_royale_azure_12820_tag.jpg;supertunia_mini_vista_plum_veined_grande_01.jpg;cayenne_pc-1133x1200-95d6dc9.jpg
Roos Glauca Sky;placeholder;Laag;Schaduw;265;97.84;Tussenvariant;22;Zomer;Paars;Ja;carex_graceful_grasses_toffee_twist_tag_25.jpg;moonlit_lavender_basket.jpg;lobelia_laguna_royale_pink_12819_mono.jpg
Roos Glauca Ocean;placeholder;Gemiddeld;Halfschaduw;97;141.72;Tussenvariant;55;Herfst;Oranje;Ja;agastache_maestro_gold_macro_02.jpg;portulaca_mojave_fuchsia_tag_25.jpg;sip_and_savor.jpg
Roos Glauca Frost;placeholder;Hoog;Veel licht;146;165.69;Buitenplanten;24;Jaarrond;Paars;Nee;angelonia_angelface_white_tag.jpg;secret_cove.jpg;lobelia_laguna_royale_lilac_12818_tag.jpg
Roos Glauca Summer;placeholder;Gemiddeld;Veel licht;136;61.14;Tussenvariant;137;Winter;Rood;Ja;agastache_maestro_coral_co-ex_grande.jpg;tango_dance.jpg;love_me_forever.jpg
Roos Glauca Autumn;placeholder;Laag;Halfschaduw;250;26.38;Tussenvariant;39;Winter;Rood;Ja;brushstrokes.jpg;agastache_maestro_gold_macro_02.jpg;crisp_and_clean.jpg
Roos Glauca Winter;placeholder;Gemiddeld;Schaduw;32;13.99;Tussenvariant;124;Jaarrond;Groen;Nee;portulaca_mojave_tangerine_ecogrande_25.jpg;warm_and_toasty.jpg;angelonia_angelface_wedgwood_pink_mono.jpg
Roos Glauca Spring;placeholder;Hoog;Veel licht;102;156.92;Kamerplanten;53;Jaarrond;Rood;Ja;dahlia_virtuoso_classy_carmine_ecogrande_0.jpg;superbells_magic_double_grapefruit_calibrachoa_2815_tag.jpg;dahlia_virtuoso_rad_raz_mono.jpg
Roos Glauca Elite;placeholder;Gemiddeld;Schaduw;63;29.36;Kamerplanten;185;Lente;Paars;Ja;capri_berry-1200x983-1a8c6ff.jpg;cuphea_totally_tempted_frosted_violet_mono.jpg;cuphea_totally_tempted_frosted_violet_macro_01.jpg
Roos Glauca Prime;placeholder;Laag;Halfschaduw;85;174.63;Kamerplanten;134;Zomer;Groen;Nee;cuphea_totally_tempted_watermelon_wine_mono.jpg;love_bug.jpg;dahlia_virtuoso_vibrant_violet_tag.jpg
Roos Glauca Natural;placeholder;Laag;Schaduw;140;40.53;Tussenvariant;153;Jaarrond;Oranje;Nee;cuphea_totally_tempted_vivid_violet_tag.jpg;coleus_colorblaze_mini_me_chartreuse_tag.jpg;scaevola_stardiva_pink_co-ex_grande.jpg
Roos Glauca Botanic;placeholder;Hoog;Schaduw;20;91.59;Tussenvariant;119;Zomer;Geel;Ja;secret_weapon.jpg;begonia_surefire_cascade_red_12825_tag.jpg;retreat.jpg
Roos Glauca Lush;placeholder;Laag;Veel licht;73;89.01;Buitenplanten;194;Herfst;Wit;Nee;dahlia_virtuoso_pinkerific_tag_0.jpg;heliotropium_aromagica_purple_tag.jpg;scaevola_stardiva_blue_ecogrande.jpg
Roos Glauca Fresh;placeholder;Laag;Schaduw;223;139.24;Tussenvariant;146;Herfst;Blauw;Nee;chic_boutique_0.jpg;polar_peach_w-thriller_scene.jpg;mother_earth-1201x1196-99fe97e.jpg
Roos Glauca Zen;placeholder;Gemiddeld;Schaduw;36;111.38;Tussenvariant;85;Zomer;Blauw;Ja;cuphea_totally_tempted_watermelon_wine_tag.jpg;crisp_and_clean.jpg;dahlia_virtuoso_pinkerific_mono.jpg
Roos Glauca Wild;placeholder;Hoog;Veel licht;175;164.15;Kamerplanten;195;Zomer;Groen;Ja;supertunia_blue_tiara_mono.jpg;salvia_unplugged_red_tag.jpg;corner_cafe.jpg
Roos Glauca Soft;placeholder;Hoog;Veel licht;47;27.67;Kamerplanten;141;Herfst;Geel;Ja;scaevola_stardiva_pink_ecogrande.jpg;cuphea_totally_tempted_frosted_violet_mono_0.jpg;perfection.jpg
Roos Glauca Bright;placeholder;Gemiddeld;Halfschaduw;230;172.73;Tussenvariant;130;Herfst;Geel;Ja;lobelia_laguna_royale_pink_12819_mono.jpg;i_got_you.jpg;dahlia_virtuoso_classy_carmine_tag.jpg
Roos Glauca Calm;placeholder;Gemiddeld;Veel licht;26;18.14;Kamerplanten;4;Zomer;Groen;Ja;superbells_magic_double_grapefruit_calibrachoa_2815_mono.jpg;lobelia_laguna_royale_pink_12819_tag.jpg;scaevola_stardiva_white_mono.jpg
Roos Elegans Select;placeholder;Hoog;Schaduw;154;69.62;Buitenplanten;54;Jaarrond;Oranje;Nee;agastache_maestro_coral_tag.jpg;vista_view.jpg;cuphea_totally_tempted_richly_red_tag.jpg
Roos Elegans Beauty;placeholder;Gemiddeld;Schaduw;88;122.15;Buitenplanten;196;Jaarrond;Oranje;Ja;supertunia_mini_vista_plum_veined_grande_01.jpg;salvia_unplugged_white_tag.jpg;vista_view.jpg
Roos Elegans Princess;placeholder;Hoog;Schaduw;294;133.32;Buitenplanten;163;Jaarrond;Roze;Nee;lobelia_laguna_royale_lilac_12818_tag.jpg;salvia_unplugged_white_ecogrande_1.jpg;cayenne_pc-1133x1200-95d6dc9.jpg
Roos Elegans King;placeholder;Hoog;Schaduw;127;99.67;Buitenplanten;165;Lente;Blauw;Nee;saffron_sunrise_basket.jpg;scaevola_stardiva_blue_mono.jpg;portulaca_mojave_fuchsia_tag_25.jpg
Roos Elegans Queen;placeholder;Hoog;Veel licht;40;151.06;Tussenvariant;51;Herfst;Paars;Ja;phlox_southern_blaze_bright_pink_12828_tag.jpg;carex_graceful_grasses_toffee_twist_tag_25.jpg;carex_graceful_grasses_toffee_twist_tag_25.jpg
Roos Elegans Gem;placeholder;Gemiddeld;Veel licht;117;110.76;Tussenvariant;176;Winter;Roze;Ja;cayenne_pc-1133x1200-95d6dc9.jpg;rockapulco_rose_0_0.jpg;guaranteed_success.jpg
Roos Elegans Delight;placeholder;Hoog;Veel licht;90;188.94;Kamerplanten;138;Winter;Groen;Ja;cuphea_totally_tempted_watermelon_wine_mono.jpg;creative_couture.jpg;supertunia_vista_cool_jazz_12821_mono.jpg
Roos Elegans Flame;placeholder;Laag;Schaduw;162;41.88;Tussenvariant;30;Winter;Blauw;Nee;dahlia_virtuoso_classy_carmine_ecogrande_0.jpg;utopia.jpg;begonia_space_age_europa_ecogrande.jpg
Roos Elegans Mist;placeholder;Gemiddeld;Halfschaduw;170;97.53;Tussenvariant;163;Jaarrond;Oranje;Nee;begonia_space_age_triton_tag.jpg;phlox_southern_blaze_bright_pink_12828_tag.jpg;coleus_colorblaze_mini_me_chartreuse_tag_0.jpg
Roos Elegans Pearl;placeholder;Gemiddeld;Halfschaduw;60;24.35;Kamerplanten;103;Winter;Groen;Ja;ipomoea_sweet_caroline_medusa_black_12824_mono.jpg;begonia_space_age_europa_tag.jpg;supertunia_bordeaux_2026_mono.jpg
Roos Elegans Glow;placeholder;Laag;Halfschaduw;173;11.05;Tussenvariant;154;Winter;Groen;Nee;salvia_unplugged_white_tag.jpg;dahlia_virtuoso_rad_raz_ecogrande_0.jpg;scaevola_stardiva_blue_tag.jpg
Roos Elegans Charm;placeholder;Hoog;Veel licht;134;158.04;Buitenplanten;132;Winter;Oranje;Ja;cuphea_totally_tempted_richly_red_grande.jpg;dahlia_virtuoso_rad_raz_mono.jpg;tropical_twist.jpg
Roos Elegans Dream;placeholder;Laag;Halfschaduw;189;134.99;Buitenplanten;178;Lente;Rood;Ja;dahlia_virtuoso_pinkerific_co-ex_grande.jpg;angelonia_angelface_white_mono_25.jpg;ipomoea_sweet_caroline_sweetheart_shadowstorm_12823_tag.jpg
Roos Elegans Classic;placeholder;Hoog;Halfschaduw;121;45.73;Buitenplanten;105;Herfst;Wit;Ja;crisp_and_clear.jpg;pixie_powder_with_thriller_scene.jpg;portulaca_mojave_mango_tag.jpg
Roos Elegans Royal;placeholder;Laag;Veel licht;228;52.42;Tussenvariant;57;Lente;Oranje;Ja;dahlia_virtuoso_vibrant_violet_tag.jpg;begonia_space_age_black_hole_ecogrande.jpg;bordeaux_2025_tag_rgb.jpg
Roos Elegans Sunrise;placeholder;Gemiddeld;Schaduw;36;186.55;Buitenplanten;51;Jaarrond;Geel;Ja;angelonia_angelface_white_mono_25.jpg;cuphea_totally_tempted_richly_red_mono.jpg;ipomoea_upside_key_lime_newtagimage.png
Roos Elegans Sunset;placeholder;Gemiddeld;Schaduw;300;53.8;Kamerplanten;195;Zomer;Blauw;Ja;portulaca_mojave_mango_ecogrande.jpg;phlox_southern_blaze_bright_pink_12828_mono.jpg;berry_express.jpg
Roos Elegans Snow;placeholder;Hoog;Schaduw;85;108.85;Buitenplanten;29;Winter;Paars;Nee;begonia_space_age_triton_tag.jpg;i_got_you.jpg;fashion_canvas_0.jpg
Roos Elegans Emerald;placeholder;Gemiddeld;Veel licht;244;20.72;Kamerplanten;145;Zomer;Geel;Ja;supertunia_bermuda_beach_mono_25.jpg;salvia_unplugged_red_mono.jpg;supertunia_blue_tiara_macro_02.jpg
Roos Elegans Ruby;placeholder;Gemiddeld;Veel licht;214;122.45;Tussenvariant;192;Zomer;Groen;Nee;scaevola_stardiva_blue_co-ex_grande.jpg;portulaca_mojave_tangerine_tag.jpg;im_in_heaven.jpg
Roos Elegans Sapphire;placeholder;Hoog;Halfschaduw;295;182.29;Buitenplanten;44;Winter;Groen;Ja;american_blues.jpg;cuphea_totally_tempted_watermelon_wine_mono.jpg;retreat.jpg
Roos Elegans Moon;placeholder;Laag;Halfschaduw;68;22.67;Kamerplanten;109;Jaarrond;Roze;Nee;angelonia_angelface_wedgwood_pink_tag.jpg;lobelia_laguna_royale_pink_12819_tag.jpg;supertunia_blue_tiara_tag_rgb.jpg
Roos Elegans Spirit;placeholder;Hoog;Veel licht;61;61.2;Tussenvariant;41;Zomer;Paars;Nee;portulaca_mojave_tangerine_tag.jpg;portulaca_mojave_fuchsia_ecogrande_25.jpg;dahlia_virtuoso_classy_carmine_ecogrande_0.jpg
Roos Elegans Grace;placeholder;Laag;Halfschaduw;118;42.63;Tussenvariant;193;Lente;Geel;Ja;supertunia_mini_vista_plum_veined_tag.jpg;supertunia_mini_vista_pink_cloud_12822_mono.jpg;scaevola_stardiva_white_co-ex_grande.jpg
Roos Elegans Harmony;placeholder;Laag;Schaduw;132;170.37;Tussenvariant;28;Jaarrond;Roze;Nee;portulaca_mojave_mango_mono.jpg;begonia_space_age_triton_macro_03.jpg;scaevola_stardiva_blue_mono.jpg
Roos Elegans Wonder;placeholder;Gemiddeld;Veel licht;70;154.53;Tussenvariant;61;Lente;Geel;Ja;begonia_space_age_triton_macro_03.jpg;begonia_space_age_black_hole_tag.jpg;ipomoea_upside_black_coffee_newtagimage.png
Roos Elegans Magic;placeholder;Hoog;Halfschaduw;241;45.32;Tussenvariant;182;Jaarrond;Groen;Nee;cayenne_pc-1133x1200-95d6dc9.jpg;begonia_space_age_triton_ecogrande.jpg;retro_chic.jpg
Roos Elegans Velour;placeholder;Hoog;Schaduw;138;56.8;Tussenvariant;64;Lente;Paars;Nee;berry_express.jpg;whisk_me_away.jpg;cayenne_pc-1133x1200-95d6dc9.jpg
Roos Elegans Crown;placeholder;Gemiddeld;Schaduw;32;140.77;Kamerplanten;25;Herfst;Wit;Ja;southern_voyage-1162x1200-3db4131.jpg;capri_berry-1200x983-1a8c6ff.jpg;island_paradise-872x1200-ac7b053.jpg
Roos Elegans Bloom;placeholder;Laag;Veel licht;188;61.93;Kamerplanten;178;Winter;Groen;Nee;heliotropium_aromagica_purple_tag_0.jpg;cuphea_totally_tempted_watermelon_wine_tag.jpg;heart_to_heart_bottle_rocket.png
Roos Elegans Blush;placeholder;Hoog;Veel licht;243;41.67;Kamerplanten;141;Zomer;Groen;Ja;portulaca_mojave_tangerine_tag.jpg;begonia_surefire_cascade_red_12825_tag.jpg;whimsy.jpg
Roos Elegans Forest;placeholder;Gemiddeld;Veel licht;70;50.75;Kamerplanten;7;Jaarrond;Oranje;Ja;kindness.jpg;cuphea_totally_tempted_frosted_violet_grande_01.jpg;dahlia_virtuoso_dayglo_yellow_grande.jpg
Roos Elegans Sky;placeholder;Laag;Halfschaduw;19;182.56;Tussenvariant;77;Winter;Geel;Ja;send_me_an_angel-900x1200-e17b42d.jpg;nemesia_bluebird_mono.jpg;angelonia_angelface_white_grande_25.jpg
Roos Elegans Ocean;placeholder;Gemiddeld;Halfschaduw;178;60.67;Kamerplanten;130;Lente;Groen;Ja;whimsy.jpg;portulaca_mojave_fuchsia_co-ex_grande_25.jpg;coleus_colorblaze_mini_me_chartreuse_tag.jpg
Roos Elegans Frost;placeholder;Hoog;Schaduw;161;136.33;Buitenplanten;69;Zomer;Roze;Ja;memories.jpg;scaevola_stardiva_blue_mono.jpg;salvia_unplugged_white_tag.jpg
Roos Elegans Summer;placeholder;Hoog;Veel licht;109;41.01;Kamerplanten;71;Jaarrond;Blauw;Nee;wholesome.jpg;speedster.jpg;pixie_powder_with_thriller_scene.jpg
Roos Elegans Autumn;placeholder;Hoog;Halfschaduw;73;98.09;Kamerplanten;17;Lente;Groen;Ja;carex_graceful_grasses_toffee_twist_co-ex_grande25.jpg;salvia_unplugged_white_grande.jpg;scaevola_stardiva_blue_mono.jpg
